placement,row_hit_rate,row_miss_rate,bank_conflict_rate,ch_balance_std,subch_balance_std,rank_balance_std,bg_balance_std,bank_balance_std,avg_parallelism,composite_score
ord8_xor_bank,0.46235,0.53765,0.0157,0.0,0.0,0.00835,0.009584339967078352,0.018733620884771582,13.149537500000001,2.201944769574075
ord14_xor_bg,0.4623625,0.5376375,0.0150625,0.0,0.0,0.00835,0.011547948340216743,0.021756506010845434,13.1631875,2.2017977728244693
ord8_direct,0.46235,0.53765,0.0152625,0.0,0.0,0.00835,0.009584339967078352,0.020632121702130347,13.132737500000001,2.1999717691653955
ord8_xor_rank,0.46235,0.53765,0.0152625,0.0,0.0,0.007299999999999999,0.009584339967078352,0.020632121702130347,13.132737500000001,2.1999717691653955
ord14_xor_rank,0.46235,0.53765,0.0152625,0.0,0.0,0.007299999999999999,0.010451430160895885,0.020632121702130347,13.132737500000001,2.199538224068487
ord14_direct,0.46235,0.53765,0.0152625,0.0,0.0,0.00835,0.010451430160895885,0.020632121702130347,13.132737500000001,2.199538224068487
ord14_xor_bank,0.46235,0.53765,0.01575,0.0,0.0,0.00835,0.010451430160895885,0.021422862342914746,13.140887500000002,2.199226603748095
ord8_xor_bg,0.4623625,0.5376375,0.015,0.0,0.0,0.00835,0.012854979153194928,0.021905819384221235,13.116575000000001,2.1965021007312924
ord6_xor_rank,0.4623875,0.5376125,0.015325,0.0,0.0,0.00185,0.009584339967078352,0.02463681002314272,13.039774999999999,2.188654425004889
ord6_direct,0.4623875,0.5376125,0.015325,0.0,0.0,0.00355,0.009584339967078352,0.02463681002314272,13.039774999999999,2.188654425004889
ord6_xor_bg,0.4623875,0.5376125,0.0148125,0.0,0.0,0.00355,0.012854979153194928,0.02643331176377177,13.027474999999999,2.1856596045415166
ord6_xor_bank,0.46240000000000003,0.5376000000000001,0.0155,0.0,0.0,0.00355,0.009584339967078352,0.025501067251240767,12.9998,2.1839872963908404
ord12_xor_bg,0.4624125,0.5375875,0.0153375,0.0,0.0,0.001425,0.014489355542250008,0.025410225534687858,12.516337499999999,2.1335027094615313
ord12_direct,0.46240000000000003,0.5376000000000001,0.015625,0.0,0.0,0.001425,0.016019497616016266,0.026648834341779577,12.5326,2.1332883340211026
ord12_xor_rank,0.46240000000000003,0.5376000000000001,0.015625,0.0,0.0,0.005475,0.016019497616016266,0.026648834341779577,12.5326,2.1332883340211026
ord12_xor_bank,0.46240000000000003,0.5376000000000001,0.0158125,0.0,0.0,0.001425,0.016019497616016266,0.027029190447591563,12.518587499999999,2.1314156559681963
ord9_xor_bg,0.4226625,0.5773375000000001,0.0149,0.0,0.0,0.5108,0.009442750311036344,0.021214304713973307,13.154062500000002,2.1230527224874955
ord9_direct,0.4226625,0.5773375000000001,0.015349999999999999,0.0,0.0,0.5108,0.009584339967078352,0.020632121702130347,13.132737500000001,2.120465519165396
ord9_xor_rank,0.4226625,0.5773375000000001,0.015349999999999999,0.0,0.0,0.50605,0.009584339967078352,0.020632121702130347,13.132737500000001,2.120465519165396
ord15_direct,0.4226625,0.5773375000000001,0.015349999999999999,0.0,0.0,0.5108,0.010451430160895885,0.020632121702130347,13.132737500000001,2.120031974068487
ord15_xor_rank,0.4226625,0.5773375000000001,0.015349999999999999,0.0,0.0,0.50605,0.010451430160895885,0.020632121702130347,13.132737500000001,2.120031974068487
ord15_xor_bank,0.422675,0.577325,0.01495,0.0,0.0,0.5108,0.010451430160895885,0.022721062175752788,13.1362,2.1199587538316753
ord9_xor_bank,0.422675,0.577325,0.015575,0.0,0.0,0.5108,0.009584339967078352,0.020516227096429904,13.1299875,2.1199359664682453
ord15_xor_bg,0.422675,0.577325,0.0158,0.0,0.0,0.5108,0.008404618379225914,0.022261783444991676,13.123175,2.1186342990878915
ord0_xor_bg,0.4624375,0.5375624999999999,0.015300000000000001,0.0,0.0,0.00435,0.00877884830917479,0.02433511388119276,11.9238,2.0777480189048165
ord0_xor_bank,0.4624375,0.5375624999999999,0.0152125,0.0,0.0,0.00435,0.009980825974967165,0.02458826697697529,11.882237499999999,2.0729954535240287
ord2_xor_bg,0.4624375,0.5375624999999999,0.015237500000000001,0.0,0.0,0.00435,0.014489355542250008,0.024570161742833933,11.8934625,2.071835241357458
ord0_direct,0.4624375,0.5375624999999999,0.015899999999999997,0.0,0.0,0.00435,0.009980825974967165,0.027588849900511504,11.8892625,2.0711664120622606
ord0_xor_rank,0.4624375,0.5375624999999999,0.015899999999999997,0.0,0.0,0.00195,0.009980825974967165,0.027588849900511504,11.8892625,2.0711664120622606
ord2_xor_bank,0.46245,0.53755,0.015600000000000001,0.0,0.0,0.00435,0.016019497616016266,0.027817034978422042,11.91015,2.0705967337027813
ord2_direct,0.4624375,0.5375624999999999,0.015899999999999997,0.0,0.0,0.00435,0.016019497616016266,0.027588849900511504,11.8892625,2.068147076241736
ord2_xor_rank,0.4624375,0.5375624999999999,0.015899999999999997,0.0,0.0,0.00195,0.016019497616016266,0.027588849900511504,11.8892625,2.068147076241736
ord7_direct,0.46175,0.53825,0.0363125,0.0,0.0,0.00355,0.009584339967078352,0.8917609325262252,11.388412500000001,1.5571998637533484
ord7_xor_rank,0.46175,0.53825,0.0363125,0.0,0.0,0.0048000000000000004,0.009584339967078352,0.8917609325262252,11.388412500000001,1.5571998637533484
ord7_xor_bg,0.4617625,0.5382375,0.0362,0.0,0.0,0.00355,0.01026049974961629,0.8909025933064326,11.360375,1.5546809534719757
ord7_xor_bank,0.46175,0.53825,0.0369,0.0,0.0,0.00355,0.009584339967078352,0.8897824003260517,11.326925,1.551159129853435
ord11_xor_bg,0.4223125,0.5776875,0.036074999999999996,0.0,0.0,0.5108,0.011096140329332113,0.893708325780885,11.4302,1.4811302669448914
ord11_direct,0.4223125,0.5776875,0.0365375,0.0,0.0,0.5108,0.009584339967078352,0.8944940222505512,11.406725,1.4784520688911853
ord11_xor_rank,0.4223125,0.5776875,0.0365375,0.0,0.0,0.5142,0.009584339967078352,0.8944940222505512,11.406725,1.4784520688911853
ord10_direct,0.4223125,0.5776875,0.0364125,0.0,0.0,0.50815,0.009584339967078352,0.8917609325262252,11.388412500000001,1.4781748637533485
ord10_xor_rank,0.4223125,0.5776875,0.0364125,0.0,0.0,0.50465,0.009584339967078352,0.8917609325262252,11.388412500000001,1.4781748637533485
