placement,order,traffic,traffic_kind,row_hit_rate,row_miss_rate,bank_conflict_rate,ch_balance_std,subch_balance_std,rank_balance_std,bg_balance_std,bank_balance_std,avg_parallelism,window
ord0_direct,col-rank-bg-bank-row,linear,linear,0.9687,0.0313,0.0,0.0,0.0,0.0,0.0030199337741083,0.024851559307214506,1.9683,32
ord0_direct,col-rank-bg-bank-row,strided,strided,0.87495,0.12505,0.0,0.0,0.0,0.0,0.0014,0.0039395431207184415,4.8722,32
ord0_direct,col-rank-bg-bank-row,random,random,0.0,1.0,0.03385,0.0,0.0,0.0093,0.016675730868540666,0.039971990193133994,20.4453,32
ord0_direct,col-rank-bg-bank-row,locality,locality,0.0061,0.9939,0.02975,0.0,0.0,0.0081,0.01882763925721969,0.041592306980979064,20.27125,32
ord0_xor_rank,col-rank-bg-bank-row,linear,linear,0.9687,0.0313,0.0,0.0,0.0,0.0,0.0030199337741083,0.024851559307214506,1.9683,32
ord0_xor_rank,col-rank-bg-bank-row,strided,strided,0.87495,0.12505,0.0,0.0,0.0,0.0,0.0014,0.0039395431207184415,4.8722,32
ord0_xor_rank,col-rank-bg-bank-row,random,random,0.0,1.0,0.03385,0.0,0.0,0.0048,0.016675730868540666,0.039971990193133994,20.4453,32
ord0_xor_rank,col-rank-bg-bank-row,locality,locality,0.0061,0.9939,0.02975,0.0,0.0,0.003,0.01882763925721969,0.041592306980979064,20.27125,32
ord0_xor_bg,col-rank-bg-bank-row,linear,linear,0.9687,0.0313,0.0,0.0,0.0,0.0,0.0030199337741083,0.024851559307214506,1.9683,32
ord0_xor_bg,col-rank-bg-bank-row,strided,strided,0.87495,0.12505,0.0,0.0,0.0,0.0,0.0014,0.0039395431207184415,4.8722,32
ord0_xor_bg,col-rank-bg-bank-row,random,random,0.0,1.0,0.03185,0.0,0.0,0.0093,0.014230952181776172,0.03586418826629149,20.4225,32
